stock_id,stock_name
6949,沛爾生醫-創
6951,青新-創
6952,大武山
6955,邦睿生技-創
6955,邦睿生技-創
6955,邦睿生技-創
6957,裕慶-KY
6958,日盛台駿
6951,青新-創
6885,全福生技
6885,全福生技
6805,富世達
6806,森崴能源
6807,峰源-KY
6830,汎銓
6805,富世達
6799,來頡
6782,視陽
6782,視陽
6789,采鈺
6789,采鈺
6790,永豐實
6830,汎銓
6792,詠業
6794,向榮生技-創
6794,向榮生技-創
6794,向榮生技-創
6796,晉弘
6796,晉弘
6799,來頡
6792,詠業
6861,睿生光電
6862,三集瑞-KY
6862,三集瑞-KY
6863,永道-KY
6863,永道-KY
6869,雲豹能源
6861,睿生光電
6873,泓德能源
6834,天二科技
6834,天二科技
6835,圓裕
6835,圓裕
6838,台新藥
6838,台新藥
6854,錼創科技-KY創
6854,錼創科技-KY創
6854,錼創科技-KY創
4746,台耀
3711,日月光投控
1789,神隆
1789,神隆
1795,美時
1795,美時
1802,台玻
1805,寶徠
1806,冠軍
1808,潤隆
1809,中釉
1810,和成
1817,凱撒衛
1903,士紙
1904,正隆
1905,華紙
1906,寶隆
1907,永豐餘
1909,榮成
2002,中鋼
1786,科妍
1786,科妍
1733,五鼎
1734,杏輝
1734,杏輝
1735,日勝化
1735,日勝化
1736,喬山
1737,臺鹽
1752,南光
1752,南光
1760,寶齡富錦
2006,東和鋼鐵
1760,寶齡富錦
1762,中化生
1773,勝一
1773,勝一
1776,展宇
1776,展宇
1783,和康生
1783,和康生
1762,中化生
1733,五鼎
2007,燁興
2009,第一銅
2069,運錩
2101,南港
2102,泰豐
2103,台橡
2104,國際中橡
2105,正新
2106,建大
2107,厚生
2108,南帝
2109,華豐
2114,鑫永銓
2115,六暉-KY
2201,裕隆
2204,中華
2206,三陽工業
2207,和泰車
2062,橋椿
2010,春源
2012,春雨
2013,中鋼構
2014,中鴻
2015,豐興
2017,官田鋼
2020,美亞
2022,聚亨
2023,燁輝
2024,志聯
2025,千興
2008,高興昌
2027,大成鋼
2029,盛餘
2030,彰源
2031,新光鋼
2032,新鋼
2033,佳大
2034,允強
2038,海光
2049,上銀
2059,川湖
2059,川湖
2028,威致
2208,台船
1732,毛寶
1731,美吾華
1539,巨庭
1540,喬福
1541,錩泰
1558,伸興
1560,中砂
1563,巧新
1568,倉佑
1582,信錦
1582,信錦
1583,程泰
1587,吉茂
1589,永冠-KY
1590,亞德客-KY
1538,正峰
1537,廣隆
1536,和大
1535,中宇
1503,士電
1504,東元
1506,正道
1512,瑞利
1513,中興電
1514,亞力
1515,力山
1516,川飛
1517,利奇
1519,華城
1597,直得
1521,大億
1524,耿鼎
1525,江申
1526,日馳
1527,鑽全
1528,恩德
1529,樂事綠能
1530,亞崴
1531,高林股
1532,勤美
1533,車王電
1522,堤維西
1732,毛寶
1598,岱宇
1603,華電
1714,和桐
1714,和桐
1717,長興
1717,長興
1718,中纖
1718,中纖
1720,生達
1720,生達
1721,三晃
1721,三晃
1722,台肥
1722,台肥
1723,中碳
1723,中碳
1725,元禎
1725,元禎
1726,永記
1726,永記
1727,中華化
1727,中華化
1730,花仙子
1730,花仙子
1731,美吾華
1713,國化
1713,國化
1712,興農
1712,興農
1604,聲寶
1605,華新
1608,華榮
1609,大亞
1611,中電
1612,宏泰
1614,三洋電
1615,大山
1616,億泰
1617,榮星
1618,合機
1702,南僑
1707,葡萄王
1707,葡萄王
1708,東鹼
1708,東鹼
1709,和益
1709,和益
1710,東聯
1710,東聯
1711,永光
1711,永光
1626,艾美特-KY
2211,長榮鋼
2227,裕日車
2393,億光
2393,億光
2395,研華
2395,研華
2397,友通
2397,友通
2399,映泰
2399,映泰
2401,凌陽
2401,凌陽
2402,毅嘉
